,School_Num,School_Nam,Place_addr,Grade_Rang,X,Y,Campus Short Name,End Time,CAMPUS,CAMPNAME,D504,All,Asian,Attrition,Attrition_Denom,Black,DAEP,Dyslexia,Econ_Disadv,Female,Foster_Care,Hispanic,Homeless,Immigrant,Am_Ind,Eng_Learner,Male,Migrant,Military_Conn,Non_Ed_Disadv,Pacific_Is,At_Risk,Title_I,Two_Or_More,White,DISTNAME,DISTRICT,_merge,Place_Id
0,'101912001,AUSTIN H S,"1700 Dumble St, Houston, Texas, 77023",'09-12,-95.33146471,29.73019386,Austin HS,1/11/22 15:30,'101912001,AUSTIN H S,45,1510,1,212,1299,123,41,32,1447,678,0,1374,26,49,2,494,832,1,0,63,1,1175,1510,2,7,HOUSTON ISD,'101912,both,ChIJgaYY2_S-QIYRFmJmKC3LsfU
1,'101912002,BELLAIRE H S,"5100 Maple St, Bellaire, Texas, 77401",'09-12,-95.46901601,29.69119751,Bellaire HS,1/11/22 16:10,'101912002,BELLAIRE H S,226,3213,402,351,2716,672,71,122,1436,1641,0,1320,6,89,9,436,1572,0,0,1777,5,1246,3213,74,731,HOUSTON ISD,'101912,both,ChIJ2fwl0vHBQIYRN_qcsw1UoOc
2,'101912003,NORTHSIDE H S,"1101 Quitman St, Houston, Texas, 77009",'09-12,-95.35798446,29.78293409,Northside HS,1/11/22 16:10,'101912003,NORTHSIDE H S,45,1431,0,162,1165,212,16,42,1337,691,0,1204,5,10,3,358,740,0,0,94,0,896,1431,2,10,HOUSTON ISD,'101912,both,ChIJa6zbsNC4QIYRvcP6oBeJ3KM
3,'101912004,FURR H S,"520 Mercury Dr, Houston, Texas, 77013",'09-12,-95.24698669,29.77899644,Furr HS,1/11/22 16:10,'101912004,FURR H S,25,1110,5,174,922,200,37,34,1068,541,5,883,27,90,3,310,569,2,0,42,0,691,1110,4,15,HOUSTON ISD,'101912,both,ChIJOVxSQWC7QIYRk1trHTtvlCs
4,'101912006,JONES FUTURES ACADEMY,"7414 St Lo Rd, Houston, Texas, 77033",'09-12,-95.33950513,29.67438731,Jones HS,1/11/22 15:30,'101912006,JONES FUTURES ACADEMY,9,341,0,34,258,131,1,4,317,216,0,203,4,9,1,61,125,0,0,24,0,190,341,2,4,HOUSTON ISD,'101912,both,ChIJsxU15YWVQIYR6wn3nxZIJLM
5,'101912007,KASHMERE H S,"6900 Wileyvale Rd, Houston, Texas, 77028",'09-12,-95.31654668,29.82265974,Kashmere HS,1/11/22 16:10,'101912007,KASHMERE H S,27,830,1,163,677,492,32,25,789,410,18,317,5,34,1,141,420,2,0,41,0,523,830,3,16,HOUSTON ISD,'101912,both,ChIJY9td8oG5QIYRr1NmfSNVD5o
6,'101912008,LAMAR H S,"3325 Westheimer Rd, Houston, Texas, 77098",'09-12,-95.42603797,29.74210249,Lamar HS,1/11/22 16:10,'101912008,LAMAR H S,221,2811,149,268,2124,742,22,86,1386,1420,0,1089,15,52,9,218,1391,4,0,1425,8,869,2811,76,738,HOUSTON ISD,'101912,both,ChIJYZy47OXAQIYRkfxk6dbgSZs
7,'101912009,WISDOM H S,"6529 Beverlyhill St, Houston, Texas, 77057",'09-12,-95.496841,29.72861102,Wisdom HS,1/11/22 16:10,'101912009,WISDOM H S,26,1856,110,388,1592,214,27,32,1816,835,0,1418,32,479,6,1152,1021,5,0,40,1,1522,1856,6,101,HOUSTON ISD,'101912,both,ChIJKTe1ybfDQIYRi0wRxNdwYGg
8,'101912010,MADISON H S,"13719 White Heather Dr, Houston, Texas, 77045",'09-12,-95.43777087,29.62970632,Madison HS,1/11/22 16:10,'101912010,MADISON H S,54,1834,5,276,1457,664,21,49,1594,833,1,1141,81,74,3,511,1001,0,0,240,1,1204,1834,8,12,HOUSTON ISD,'101912,both,ChIJGYxfm6rrQIYR_cUaou0omic
9,'101912011,MILBY H S,"1601 Broadway St, Houston, Texas, 77012",'09-12,-95.2780398,29.710524,Milby HS,1/11/22 15:30,'101912011,MILBY H S,54,2143,8,176,1686,79,65,53,1996,1043,0,2031,141,85,6,491,1100,8,2,147,0,1340,2143,2,17,HOUSTON ISD,'101912,both,ChIJ12qdRI-VQIYRLB7XCbon3Bs
10,'101912012,HEIGHTS H S,"413 E 13th St, Houston, Texas, 77008",'09-12,-95.39285603,29.79446784,Heights HS,1/11/22 16:10,'101912012,HEIGHTS H S,143,2438,23,146,1796,295,9,81,1604,1221,0,1832,21,12,3,234,1217,1,0,834,2,983,2438,28,255,HOUSTON ISD,'101912,both,ChIJsU0h-V_HQIYReCbZga9eZ4o
