Campus Short Name,School_Nam
Alcott ES,ALCOTT EL
Almeda ES,ALMEDA EL
Anderson ES,ANDERSON EL
Arabic Immersion,ARABIC IMMERSION MAGNET SCHOOL
Ashford ES,ASHFORD EL
Askew ES,ASKEW EL
Atherton ES,ATHERTON EL
Attucks MS,ATTUCKS MIDDLE
Austin HS,AUSTIN H S
Baker Montessori,ELLA J BAKER MONTESSORI SCHOOL
Barrick ES,BARRICK EL
Bastian ES,BASTIAN EL
Baylor College MS,BAYLOR COLLEGE OF MEDICINE ACADEMY AT RYAN
BCM Biotech Acad at Rusk,BAYLOR COLLEGE OF MEDICINE BIOTECH ACADEMY AT RUSK
Bell ES,BELL EL
Bellaire HS,BELLAIRE H S
Bellfort ECC,BELLFORT EARLY CHILDHOOD CENTER
Benavidez ES,BENAVIDEZ EL
Benbrook ES,BENBROOK EL
Berry ES,BERRY EL
Black MS,BLACK MIDDLE
Blackshear ES,BLACKSHEAR EL
Bonham ES,BONHAM EL
Bonner ES,BONNER EL
Braeburn ES,BRAEBURN EL
Briargrove ES,BRIARGROVE EL
Briarmeadow,BRIARMEADOW CHARTER
Briscoe ES,BRISCOE EL
Brookline ES,BROOKLINE EL
Browning ES,BROWNING EL
Bruce ES,BRUCE EL
Burbank ES,BURBANK EL
Burbank MS,BURBANK MIDDLE
Burnet ES,BURNET EL
Burrus ES,BURRUS EL
Bush ES,BUSH EL
Cage ES,CAGE EL
Carnegie HS,CARNEGIE VANGUARD H S
Carrillo ES,CARRILLO EL
Challenge EC HS,CHALLENGE EARLY COLLEGE H S
Chavez HS,CHAVEZ H S
Chrysalis MS,PROJECT CHRYSALIS MIDDLE
Clifton MS,CLIFTON MIDDLE
Codwell ES,CODWELL EL
Community Services,COMMUNITY SERVICES-SEC
Condit ES,CONDIT EL
Cook ES,COOK JR EL
Coop ES,COOP EL
Cornelius ES,CORNELIUS EL
Crespo ES,CRESPO EL
Crockett ES,CROCKETT EL
Cullen MS,CULLEN MIDDLE
Cunningham ES,CUNNINGHAM EL
DAEP EL,EL DAEP
Daily ES,RAY DAILY EL
Davila ES,DAVILA EL
De Chaumes ES,DE CHAUMES EL
Deady MS,DEADY MIDDLE
DeAnda ES,DEANDA EL
DeBakey HS,DEBAKEY H S FOR HEALTH PROF
DeZavala ES,DE ZAVALA EL
Dogan ES,DOGAN EL
Durham ES,DURHAM EL
Durkee ES,DURKEE EL
East EC HS,EAST EARLY COLLEGE H S
Eastwood Acad HS,EASTWOOD ACADEMY
Edison MS,EDISON MIDDLE
Eliot ES,ELIOT EL
Elmore ES,ELMORE EL
Elrod ES,ELROD EL
Emerson ES,EMERSON EL
Energized ECC,ENERGIZED FOR EXCELLENCE ACADEMY ECC
Energized ES,ENERGIZED FOR EXCELLENCE ACADEMY EL
ENERGIZED FOR STEM ACADEMY HS,ENERGIZED FOR STEM ACADEMY H S
ENERGIZED FOR STEM ACADEMY MS,ENERGIZED FOR STEM ACADEMY MIDDLE
Energized MS,ENERGIZED FOR EXCELLENCE ACADEMY INC MIDDLE
Energy Inst HS,ENERGY INSTITUTE H S
Farias ECC,FARIAS EARLY CHILDHOOD CENTER
Field ES,FIELD EL
Fleming MS,FLEMING MIDDLE
Foerster ES,FOERSTER EL
Fondren ES,FONDREN EL
Fondren MS,FONDREN MIDDLE
