,Campus Short Name,School_Nam
0,Alcott ES,ALCOTT EL
1,Almeda ES,ALMEDA EL
2,Anderson ES,ANDERSON EL
3,Arabic Immersion,ARABIC IMMERSION MAGNET SCHOOL
4,Ashford ES,ASHFORD EL
5,Askew ES,ASKEW EL
6,Atherton ES,ATHERTON EL
7,Attucks MS,ATTUCKS MIDDLE
8,Austin HS,AUSTIN H S
9,Baker Montessori,ELLA J BAKER MONTESSORI SCHOOL
10,Barrick ES,BARRICK EL
11,Bastian ES,BASTIAN EL
12,Baylor College MS,BAYLOR COLLEGE OF MEDICINE BIOTECH ACADEMY AT RUSK
13,BCM Biotech Acad at Rusk,TEXAS CONNECTIONS ACADEMY AT HOUSTON
14,Bell ES,BELL EL
15,Bellaire HS,BELLAIRE H S
16,Bellfort ECC,NEFF ECC
17,Benavidez ES,BENAVIDEZ EL
18,Benbrook ES,BENBROOK EL
19,Berry ES,BERRY EL
20,Black MS,BLACK MIDDLE
21,Blackshear ES,BLACKSHEAR EL
22,Bonham ES,BONHAM EL
23,Bonner ES,BONNER EL
24,Braeburn ES,BRAEBURN EL
25,Briargrove ES,BRIARGROVE EL
26,Briarmeadow,BRIARMEADOW CHARTER
27,Briscoe ES,BRISCOE EL
28,Brookline ES,BROOKLINE EL
29,Browning ES,BROWNING EL
30,Bruce ES,BRUCE EL
31,Burbank ES,BURBANK EL
32,Burbank MS,BURBANK EL
33,Burnet ES,BURNET EL
34,Burrus ES,BURRUS EL
35,Bush ES,BUSH EL
36,Cage ES,CAGE EL
37,Carnegie HS,CARNEGIE VANGUARD H S
38,Carrillo ES,CARRILLO EL
39,Challenge EC HS,CHALLENGE EARLY COLLEGE H S
40,Chavez HS,CHAVEZ H S
41,Chrysalis MS,PROJECT CHRYSALIS MIDDLE
42,Clifton MS,CLIFTON MIDDLE
43,Codwell ES,CODWELL EL
44,Community Services,COMMUNITY SERVICES-SEC
45,Condit ES,CONDIT EL
46,Cook ES,COOP EL
47,Coop ES,COOP EL
48,Cornelius ES,CORNELIUS EL
49,Crespo ES,CRESPO EL
50,Crockett ES,CROCKETT EL
51,Cullen MS,CULLEN MIDDLE
52,Cunningham ES,CUNNINGHAM EL
53,DAEP EL,EL DAEP
54,Daily ES,RAY DAILY EL
55,Davila ES,DAVILA EL
56,De Chaumes ES,DE CHAUMES EL
57,Deady MS,DEADY MIDDLE
58,DeAnda ES,DEANDA EL
59,DeBakey HS,DEBAKEY H S FOR HEALTH PROF
60,DeZavala ES,DE ZAVALA EL
61,Dogan ES,DOGAN EL
62,Durham ES,DURHAM EL
63,Durkee ES,DURKEE EL
64,East EC HS,EAST EARLY COLLEGE H S
65,Eastwood Acad HS,MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN
66,Edison MS,EDISON MIDDLE
67,Eliot ES,ELIOT EL
68,Elmore ES,ELMORE EL
69,Elrod ES,ELROD EL
70,Emerson ES,EMERSON EL
71,Energized ECC,NEFF ECC
72,Energized ES,ENERGIZED FOR STEM ACADEMY H S
73,ENERGIZED FOR STEM ACADEMY HS,ENERGIZED FOR STEM ACADEMY H S
74,ENERGIZED FOR STEM ACADEMY MS,ENERGIZED FOR STEM ACADEMY H S
75,Energized MS,ENERGIZED FOR STEM ACADEMY H S
76,Energy Inst HS,ENERGY INSTITUTE H S
77,Farias ECC,ENERGIZED FOR EXCELLENCE ACADEMY ECC
78,Field ES,FIELD EL
79,Fleming MS,FLEMING MIDDLE
80,Foerster ES,FOERSTER EL
81,Fondren ES,FONDREN EL
82,Fondren MS,FONDREN EL
83,Fonville MS,FONVILLE MIDDLE
84,Fonwood ECC,ENERGIZED FOR EXCELLENCE ACADEMY ECC
85,Forest Brook MS,FOREST BROOK MIDDLE
86,Foster ES,FOSTER EL
87,Franklin ES,FRANKLIN EL
88,Frost ES,FROST EL
89,Furr HS,FURR H S
90,Gallegos ES,GALLEGOS EL
91,Garcia ES,GARCIA EL
92,Garden Oaks,GARDEN OAKS MONTESSORI
93,Garden Villas ES,GARDEN VILLAS EL
94,Golfcrest ES,GOLFCREST EL
95,Gregg ES,GREGG EL
96,Gregory-Lincoln PK-8,WHARTON K-8 DUAL LANGUAGE ACADEMY
