OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,ARC_Addres,ARC_Addr_1,ARC_Addr_2,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,County_Num,County_Nam,ESC_Region,ESC_Regi_1,ESC_Regi_2,District_N,District_1,District_T,District_S,District_C,District_2,District_Z,District_3,District_4,District_5,District_6,District_P,District_F,District_E,District_W,District_7,District_8,School_Num,School_Nam,Instructio,Charter_Ty,School_Str,School_Cit,School_Sta,School_Zip,School_Sit,School_S_1,School_S_2,School_S_3,Zip_5,School_Pho,School_Fax,School_Ema,School_Web,School_Pri,Grade_Rang,School_Enr,School_S_4,School_S_5,Performanc,GlobalID,School_Type
4543,World,M,98.82,A,"1700 Dumble St, Houston, Texas, 77023","1700 Dumble St, Houston, TX, 77023, USA",1700 Dumble St,PointAddress, , ,"1700 Dumble St, Houston, Texas, 77023", , ,20, ,1700, , , , , , ,Dumble,St, , , , , , , , ,1700 Dumble St, , , , ,Houston, ,Harris County,Texas,TX, , ,77023,3139,USA,ENG,0,-95.3314647057,29.730193857,-95.3332059622,29.730909001,-95.3342059622,-95.3322059622,29.729909001,29.731909001, ,1700 DUMBLE, , , ,HOUSTON, ,TX,77023, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912001,AUSTIN H S,REGULAR INSTRUCTIONAL, ,1700 DUMBLE,HOUSTON,TX,77023-3139,1700 DUMBLE,HOUSTON,TX,77023-3139,77023,(713) 924-1600,(713) 923-3157,OREYNA2@houstonisd.org,www.houstonisd.org,MR ORLANDO REYNA,'09-12,1520,Active, ,https://txschools.gov/schools/101912001/overview,6044703f-c35c-4dce-a611-f0ac667eab65,
4544,World,M,98.82,A,"5100 Maple St, Bellaire, Texas, 77401","5100 Maple St, Bellaire, TX, 77401, USA",5100 Maple St,PointAddress, , ,"5100 Maple St, Bellaire, Texas, 77401", , ,20, ,5100, , , , , , ,Maple,St, , , , , , , , ,5100 Maple St, , , , ,Bellaire, ,Harris County,Texas,TX, , ,77401,4936,USA,ENG,0,-95.4690160116,29.6911975135,-95.4690160116,29.6919689838,-95.4700160116,-95.4680160116,29.6909689838,29.6929689838, ,5100 MAPLE, , , ,BELLAIRE, ,TX,77401, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912002,BELLAIRE H S,REGULAR INSTRUCTIONAL, ,5100 MAPLE,BELLAIRE,TX,77401-4936,5100 MAPLE,BELLAIRE,TX,77401-4936,77401,(713) 295-3704,(713) 295-3763,mmcdonou@houstonisd.org,www.houstonisd.org,MR MICHAEL MCDONOUGH,'09-12,3218,Active, ,https://txschools.gov/schools/101912002/overview,26e69755-c853-44dd-886e-26cfec353a6d,
4545,World,M,98.82,A,"1101 Quitman St, Houston, Texas, 77009","1101 Quitman St, Houston, TX, 77009, USA",1101 Quitman St,PointAddress, , ,"1101 Quitman St, Houston, Texas, 77009", , ,20, ,1101, , , , , , ,Quitman,St, , , , , , , , ,1101 Quitman St, , , , ,Houston, ,Harris County,Texas,TX, , ,77009,7815,USA,ENG,0,-95.3579844606,29.782934091,-95.3582289607,29.7836369974,-95.3592289607,-95.3572289607,29.7826369974,29.7846369974, ,1101 QUITMAN, , , ,HOUSTON, ,TX,77009, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912003,NORTHSIDE H S,REGULAR INSTRUCTIONAL, ,1101 QUITMAN,HOUSTON,TX,77009-7815,1101 QUITMAN,HOUSTON,TX,77009-7815,77009,(713) 226-4900,(713) 226-4999,CGONZAL1@HOUSTONISD.ORG,www.houstonisd.org,MS CECILIA A GONZALES,'09-12,1431,Active, ,https://txschools.gov/schools/101912003/overview,e53ea622-d54c-4c1d-82a5-d27abe9bcd31,
4546,World,M,98.82,A,"520 Mercury Dr, Houston, Texas, 77013","520 Mercury Dr, Houston, TX, 77013, USA",520 Mercury Dr,PointAddress, , ,"520 Mercury Dr, Houston, Texas, 77013", , ,20, ,520, , , , , , ,Mercury,Dr, , , , , , , , ,520 Mercury Dr, , , , ,Houston, ,Harris County,Texas,TX, , ,77013,5217,USA,ENG,0,-95.2469866887,29.7789964405,-95.2488089983,29.7794349817,-95.2498089983,-95.2478089983,29.7784349817,29.7804349817, ,520 MERCURY, , , ,HOUSTON, ,TX,77013, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912004,FURR H S,REGULAR INSTRUCTIONAL, ,520 MERCURY,HOUSTON,TX,77013-5217,520 MERCURY,HOUSTON,TX,77013-5217,77013,(713) 675-1118,(713) 671-3612,tmoran@houstonisd.org,www.houstonisd.org,MS TAMMIE MORAN,'09-12,1113,Active, ,https://txschools.gov/schools/101912004/overview,c8186eb7-32af-4eab-b116-de7a5063e576,
4547,World,M,100,A,"7414 St Lo Rd, Houston, Texas, 77033","7414 St Lo Rd, Houston, TX, 77033, USA",7414 St Lo Rd,PointAddress, , ,"7414 St Lo Rd, Houston, Texas, 77033", , ,20, ,7414, , , , , , ,St Lo,Rd, , , , , , , , ,7414 St Lo Rd, , , , ,Houston, ,Harris County,Texas,TX, , ,77033,2732,USA,ENG,0,-95.3395051301,29.6743873133,-95.3405989685,29.6746790035,-95.3415989685,-95.3395989685,29.6736790035,29.6756790035, ,7414 ST LO RD, , , ,HOUSTON, ,TX,77033, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912006,JONES FUTURES ACADEMY,REGULAR INSTRUCTIONAL, ,7414 ST LO RD,HOUSTON,TX,77033-2797,7414 ST LO RD,HOUSTON,TX,77033-2797,77033,(713) 733-1111,(713) 732-3450,nlim@houstonisd.org,www.houstonisd.org,MS NIRMOL LIM,'09-12,342,Active, ,https://txschools.gov/schools/101912006/overview,dcd24ec7-6020-4966-8b22-f787594b92d5,
4548,World,M,98.04,A,"6900 Wileyvale Rd, Houston, Texas, 77028","6900 Wileyvale Rd, Houston, TX, 77028, USA",6900 Wileyvale Rd,PointAddress, , ,"6900 Wileyvale Rd, Houston, Texas, 77028", , ,20, ,6900, , , , , , ,Wileyvale,Rd, , , , , , , , ,6900 Wileyvale Rd, , , , ,Houston, ,Harris County,Texas,TX, , ,77028,4156,USA,ENG,0,-95.3165466782,29.8226597439,-95.3153199867,29.8226920142,-95.3163199867,-95.3143199867,29.8216920142,29.8236920142, ,6900 WILEYVALE ST, , , ,HOUSTON, ,TX,77028, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912007,KASHMERE H S,REGULAR INSTRUCTIONAL, ,6900 WILEYVALE ST,HOUSTON,TX,77028-4156,6900 WILEYVALE ST,HOUSTON,TX,77028-4156,77028,(713) 636-6400,(713) 636-6433,BDICKERS@houstonisd.org,www.houstonisd.org,MR BRANDON DICKERSON,'09-12,830,Active, ,https://txschools.gov/schools/101912007/overview,ce12f46b-5d2c-48fb-84ea-8265c643602c,
4549,World,M,100,A,"3325 Westheimer Rd, Houston, Texas, 77098","3325 Westheimer Rd, Houston, TX, 77098, USA",3325 Westheimer Rd,PointAddress, , ,"3325 Westheimer Rd, Houston, Texas, 77098", , ,20, ,3325, , , , , , ,Westheimer,Rd, , , , , , , , ,3325 Westheimer Rd, , , , ,Houston, ,Harris County,Texas,TX, , ,77098,1003,USA,ENG,0,-95.4260379707,29.7421024878,-95.4260379707,29.7407499839,-95.4270379707,-95.4250379707,29.7397499839,29.7417499839, ,3325 WESTHEIMER RD, , , ,HOUSTON, ,TX,77098, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912008,LAMAR H S,REGULAR INSTRUCTIONAL, ,3325 WESTHEIMER RD,HOUSTON,TX,77098-1003,3325 WESTHEIMER RD,HOUSTON,TX,77098-1003,77098,(713) 522-5960,(713) 535-3769,rgraves1@houstonisd.org,www.houstonisd.org,MS RITA GRAVES,'09-12,2849,Active, ,https://txschools.gov/schools/101912008/overview,c7e99a00-c48a-47c7-810e-a8e12fcc549a,
4550,World,M,98.04,A,"6529 Beverlyhill St, Houston, Texas, 77057","6529 Beverlyhill St, Houston, TX, 77057, USA",6529 Beverlyhill St,PointAddress, , ,"6529 Beverlyhill St, Houston, Texas, 77057", , ,20, ,6529, , , , , , ,Beverlyhill,St, , , , , , , , ,6529 Beverlyhill St, , , , ,Houston, ,Harris County,Texas,TX, , ,77057,6406,USA,ENG,0,-95.4968409964,29.7286110184,-95.4968409964,29.7286110184,-95.4978409964,-95.4958409964,29.7276110184,29.7296110184, ,6529 BEVERLY HILL LN, , , ,HOUSTON, ,TX,77057, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912009,WISDOM H S,REGULAR INSTRUCTIONAL, ,6529 BEVERLY HILL LN,HOUSTON,TX,77057-6406,6529 BEVERLY HILL LN,HOUSTON,TX,77057-6406,77057,(713) 787-1700,(713) 787-1723,mwagner@houstonisd.org,www.houstonisd.org,MS MICHELLE WAGNER,'09-12,1856,Active, ,https://txschools.gov/schools/101912009/overview,bb29cf7b-f122-4a97-8d91-424bccc717f6,
4551,World,M,97.82,A,"13719 White Heather Dr, Houston, Texas, 77045","13719 White Heather Dr, Houston, TX, 77045, USA",13719 White Heather Dr,PointAddress, , ,"13719 White Heather Dr, Houston, Texas, 77045", , ,20, ,13719, , , , , , ,White Heather,Dr, , , , , , , , ,13719 White Heather Dr, , , , ,Houston, ,Harris County,Texas,TX, , ,77045,4421,USA,ENG,0,-95.4377708749,29.6297063211,-95.4367979874,29.6297369989,-95.4377979874,-95.4357979874,29.6287369989,29.6307369989, ,13719 WHITEHEATHER, , , ,HOUSTON, ,TX,77045, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912010,MADISON H S,REGULAR INSTRUCTIONAL, ,13719 WHITEHEATHER,HOUSTON,TX,77045-4421,13719 WHITEHEATHER,HOUSTON,TX,77045-4421,77045,(713) 433-9801,(713) 434-5242,cbrown9@houstonisd.org,www.houstonisd.org,MS CARLOTTA R BROWN,'09-12,1834,Active, ,https://txschools.gov/schools/101912010/overview,bb7730de-d465-4dbc-a761-03f1cc3fc1bc,
4552,World,M,98.82,A,"1601 Broadway St, Houston, Texas, 77012","1601 Broadway St, Houston, TX, 77012, USA",1601 Broadway St,PointAddress, , ,"1601 Broadway St, Houston, Texas, 77012", , ,20, ,1601, , , , , , ,Broadway,St, , , , , , , , ,1601 Broadway St, , , , ,Houston, ,Harris County,Texas,TX, , ,77012,3721,USA,ENG,0,-95.2780397959,29.7105240029,-95.2774799686,29.7105380007,-95.2784799686,-95.2764799686,29.7095380007,29.7115380007, ,1601 BROADWAY, , , ,HOUSTON, ,TX,77012, , ,'101,HARRIS COUNTY,'04,'04,'04,'101912,HOUSTON ISD,INDEPENDENT,4400 W 18TH ST,HOUSTON,TX,77092-8501,4400 W 18TH ST,HOUSTON,TX,77092-8501,(713) 556-6005,(713) 556-6006,HISDSuperintendent@houstonisd.org,www.houstonisd.org,MR MILLARD L HOUSE II,196943,'101912011,MILBY H S,REGULAR INSTRUCTIONAL, ,1601 BROADWAY,HOUSTON,TX,77012-3721,1601 BROADWAY,HOUSTON,TX,77012-3721,77012,(713) 928-7401,(713) 928-7474,rruiz3@houstonisd.org,www.houstonisd.org,MS RUTH RUIZ,'09-12,2154,Active, ,https://txschools.gov/schools/101912011/overview,69032e5a-c857-475b-9097-1ef9d02f877f,
