School Name,State Name [Public School] Latest available year,Latitude [Public School] 2019-20,Longitude [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Total Students All Grades (Includes AE) [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2019-20,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,Location Address 1 [Public School] 2019-20,Location Address 2 [Public School] 2019-20,Location City [Public School] 2019-20,Location State Abbr [Public School] 2019-20,Location ZIP [Public School] 2019-20,Location ZIP4 [Public School] 2019-20,Agency Type [District] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2019-20,Asian or Asian/Pacific Islander Students [Public School] 2019-20,Hispanic Students [Public School] 2019-20,Black or African American Students [Public School] 2019-20,White Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Two or More Races Students [Public School] 2019-20,Total Race/Ethnicity [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20
ALCOTT EL,Texas,29.667360,-95.329781,2-No,2-No,230,225,TX ,482364002385,HOUSTON ISD,5859 BELLFORT,†,HOUSTON,TX ,77033,2199,†,Elementary,0,0,77,149,1,0,3,230,15.89,14.47
ALMEDA EL,Texas,29.600293,-95.418075,2-No,2-No,847,809,TX ,482364002387,HOUSTON ISD,14249 BRIDGEPORT RD,†,HOUSTON,TX ,77047,5061,†,Elementary,1,7,632,197,7,0,3,847,43.5,19.47
ANDERSON EL,Texas,29.648928,-95.487132,2-No,2-No,760,648,TX ,482364002388,HOUSTON ISD,5727 LUDINGTON DR,†,HOUSTON,TX ,77035,4399,†,Elementary,0,14,593,134,15,2,2,760,43,17.67
ARABIC IMMERSION MAGNET SCHOOL,TEXAS,29.737146,-95.388448,2-No,1-Yes,407,218,TX ,482364013165,HOUSTON ISD,812 W 28TH ST,†,HOUSTON,TX ,77008,1710,†,Elementary,0,19,109,94,170,0,15,407,26,15.65
ASHFORD EL,Texas,29.746776,-95.597539,2-No,2-No,632,507,TX ,482364002389,HOUSTON ISD,1815 SHANNON VLY DR,†,HOUSTON,TX ,77077,4998,†,Elementary,0,16,249,295,57,0,15,632,38.53,16.4
ASKEW EL,Texas,29.751909,-95.577046,2-No,1-Yes,938,643,TX ,482364002390,HOUSTON ISD,11200 WOOD LODGE DR,†,HOUSTON,TX ,77077,4237,†,Elementary,4,92,321,370,128,0,23,938,51.83,18.1
ATHERTON EL,Texas,29.779724,-95.322092,2-No,1-Yes,569,565,TX ,482364002391,HOUSTON ISD,2011 SOLO ST,†,HOUSTON,TX ,77020,4223,†,Elementary,0,0,123,439,4,0,3,569,31,18.35
ATTUCKS MIDDLE,Texas,29.668966,-95.363625,2-No,2-No,425,407,TX ,482364002392,HOUSTON ISD,4330 BELLFORT BLVD,†,HOUSTON,TX ,77051,1802,†,Middle,0,2,121,294,2,0,6,425,38.53,11.03
AUSTIN H S,Texas,29.732475,-95.332135,2-No,1-Yes,1624,1535,TX ,482364002393,HOUSTON ISD,1700 DUMBLE,†,HOUSTON,TX ,77023,3139,†,High,4,0,1459,142,11,1,7,1624,96.92,16.76
BARRICK EL,Texas,29.874763,-95.370410,2-No,2-No,630,595,TX ,482364002394,HOUSTON ISD,12001 WINFREY LN,†,HOUSTON,TX ,77076,1239,†,Elementary,0,2,610,8,9,0,1,630,37.17,16.95
