CAMPUS,CAMPNAME,CPET504C,CPET504P,CPETALLC,CPETASIC,CPETASIP,CPETATTC,CPETATTD,CPETATTP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETDSLC,CPETDSLP,CPETECOC,CPETECOP,CPETFEMC,CPETFEMP,CPETFOSC,CPETFOSP,CPETHISC,CPETHISP,CPETHOMC,CPETHOMP,CPETIMMC,CPETIMMP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETMALC,CPETMALP,CPETMIGC,CPETMIGP,CPETMLCC,CPETMLCP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETTT1C,CPETTT1P,CPETTWOC,CPETTWOP,CPETWHIC,CPETWHIP,DISTNAME,DISTRICT
"'101912001","AUSTIN H S",45,3,1510,1,0.1,212,1299,16.3,123,8.1,41,2.4,32,2.1,1447,95.8,678,44.9,0,0,1374,91,26,1.7,49,3.2,2,0.1,494,32.7,832,55.1,1,0.1,0,0,63,4.2,1,0.1,1175,77.8,1510,100,2,0.1,7,0.5,"HOUSTON ISD","'101912"
"'101912002","BELLAIRE H S",226,7,3213,402,12.5,351,2716,12.9,672,20.9,71,2,122,3.8,1436,44.7,1641,51.1,0,0,1320,41.1,6,0.2,89,2.8,9,0.3,436,13.6,1572,48.9,0,0,0,0,1777,55.3,5,0.2,1246,38.8,3213,100,74,2.3,731,22.8,"HOUSTON ISD","'101912"
"'101912003","NORTHSIDE H S",45,3.1,1431,0,0,162,1165,13.9,212,14.8,16,1,42,2.9,1337,93.4,691,48.3,0,0,1204,84.1,5,0.3,10,0.7,3,0.2,358,25,740,51.7,0,0,0,0,94,6.6,0,0,896,62.6,1431,100,2,0.1,10,0.7,"HOUSTON ISD","'101912"
"'101912004","FURR H S",25,2.3,1110,5,0.5,174,922,18.9,200,18,37,3,34,3.1,1068,96.2,541,48.7,5,0.5,883,79.5,27,2.4,90,8.1,3,0.3,310,27.9,569,51.3,2,0.2,0,0,42,3.8,0,0,691,62.3,1110,100,4,0.4,15,1.4,"HOUSTON ISD","'101912"
"'101912006","JONES FUTURES ACADEMY",9,2.6,341,0,0,34,258,13.2,131,38.4,1,0.3,4,1.2,317,93,216,63.3,0,0,203,59.5,4,1.2,9,2.6,1,0.3,61,17.9,125,36.7,0,0,0,0,24,7,0,0,190,55.7,341,100,2,0.6,4,1.2,"HOUSTON ISD","'101912"
"'101912007","KASHMERE H S",27,3.3,830,1,0.1,163,677,24.1,492,59.3,32,3.3,25,3,789,95.1,410,49.4,18,2.2,317,38.2,5,0.6,34,4.1,1,0.1,141,17,420,50.6,2,0.2,0,0,41,4.9,0,0,523,63,830,100,3,0.4,16,1.9,"HOUSTON ISD","'101912"
"'101912008","LAMAR H S",221,7.9,2811,149,5.3,268,2124,12.6,742,26.4,22,0.7,86,3.1,1386,49.3,1420,50.5,0,0,1089,38.7,15,0.5,52,1.8,9,0.3,218,7.8,1391,49.5,4,0.1,0,0,1425,50.7,8,0.3,869,30.9,2811,100,76,2.7,738,26.3,"HOUSTON ISD","'101912"
"'101912009","WISDOM H S",26,1.4,1856,110,5.9,388,1592,24.4,214,11.5,27,1.2,32,1.7,1816,97.8,835,45,0,0,1418,76.4,32,1.7,479,25.8,6,0.3,1152,62.1,1021,55,5,0.3,0,0,40,2.2,1,0.1,1522,82,1856,100,6,0.3,101,5.4,"HOUSTON ISD","'101912"
"'101912010","MADISON H S",54,2.9,1834,5,0.3,276,1457,18.9,664,36.2,21,1.1,49,2.7,1594,86.9,833,45.4,1,0.1,1141,62.2,81,4.4,74,4,3,0.2,511,27.9,1001,54.6,0,0,0,0,240,13.1,1,0.1,1204,65.6,1834,100,8,0.4,12,0.7,"HOUSTON ISD","'101912"
"'101912011","MILBY H S",54,2.5,2143,8,0.4,176,1686,10.4,79,3.7,65,3,53,2.5,1996,93.1,1043,48.7,0,0,2031,94.8,141,6.6,85,4,6,0.3,491,22.9,1100,51.3,8,0.4,2,0.1,147,6.9,0,0,1340,62.5,2143,100,2,0.1,17,0.8,"HOUSTON ISD","'101912"
